County,Marital Status,Male,Female,Total
Galway City,Single,23617,24524,48141
Galway City,Married (incl. same sex civil partnership),12194,12156,24350
Galway City,Separated,685,1008,1693
Galway City,Divorced,717,1184,1901
Galway City,Widowed,587,1996,2583
Galway City,Total,37800,40868,78668
Galway,Single,48373,42748,91121
Galway,Married (incl. same sex civil partnership),36542,36670,73212
Galway,Separated,1751,2097,3848
Galway,Divorced,1429,1874,3303
Galway,Widowed,1768,6138,7906
Galway,Total,89863,89527,179390
Mayo,Single,34810,30616,65426
Mayo,Married (incl. same sex civil partnership),26078,26267,52345
Mayo,Separated,1409,1749,3158
Mayo,Divorced,1205,1579,2784
Mayo,Widowed,1545,5249,6794
Mayo,Total,65047,65460,130507
Sligo,Single,17826,16531,34357
Sligo,Married (incl. same sex civil partnership),12466,12547,25013
Sligo,Separated,755,958,1713
Sligo,Divorced,595,780,1375
Sligo,Widowed,723,2354,3077
Sligo,Total,32365,33170,65535
Leitrim,Single,8545,7376,15921
Leitrim,Married (incl. same sex civil partnership),6433,6441,12874
Leitrim,Separated,373,423,796
Leitrim,Divorced,332,395,727
Leitrim,Widowed,381,1345,1726
Leitrim,Total,16064,15980,32044
Donegal,Single,42725,38757,81482
Donegal,Married (incl. same sex civil partnership),31445,31752,63197
Donegal,Separated,1769,2210,3979
Donegal,Divorced,1385,1977,3362
Donegal,Widowed,1698,5474,7172
Donegal,Total,79022,80170,159192
Cavan,Single,21004,18461,39465
Cavan,Married (incl. same sex civil partnership),15044,14966,30010
Cavan,Separated,802,956,1758
Cavan,Divorced,731,921,1652
Cavan,Widowed,749,2542,3291
Cavan,Total,38330,37846,76176
Monaghan,Single,16965,14652,31617
Monaghan,Married (incl. same sex civil partnership),12126,12151,24277
Monaghan,Separated,640,783,1423
Monaghan,Divorced,513,789,1302
Monaghan,Widowed,622,2145,2767
Monaghan,Total,30866,30520,61386
Louth,Single,35809,33737,69546
Louth,Married (incl. same sex civil partnership),23703,23740,47443
Louth,Separated,1615,2196,3811
Louth,Divorced,1230,1741,2971
Louth,Widowed,1276,3837,5113
Louth,Total,63633,65251,128884
Fingal,Single,80627,79444,160071
Fingal,Married (incl. same sex civil partnership),57264,56985,114249
Fingal,Separated,2707,4189,6896
Fingal,Divorced,2517,4178,6695
Fingal,Widowed,2125,5984,8109
